,Gramas,ODS,,
471,ciudadana,"Paz, justicia e instituciones sólidas",,
472,ciudadanas,"Paz, justicia e instituciones sólidas",,
473,clamidiales,Salud y bienestar,,
474,clientelismo,Salud y bienestar,,
475,clima,Acción por el clima,,
476,climas,Acción por el clima,,
477,climatica,Acción por el clima,,
478,climaticas,Acción por el clima,,
479,climatico,Acción por el clima,,
480,climatologia,Acción por el clima,,
481,climatologica,Acción por el clima,,
482,clinico,Salud y bienestar,,
483,clona,Salud y bienestar,,
484,clonacion,Salud y bienestar,,
485,clorhidrico,"Industria, innovación e infraestructuras",,
486,cloroformo,"Industria, innovación e infraestructuras",,
487,clorpirifos,"Industria, innovación e infraestructuras; Salud y bienestar",,
488,cludadania,"Paz, justicia e instituciones sólidas",,
489,cocodrilo,Vida de ecosistemas terrestres,,
490,cocodrilos,Vida de ecosistemas terrestres,,
491,cocos,Ciudades y comunidades sostenibles,,
492,coding,"Industria, innovación e infraestructuras",,
493,colaborativo,Alianza para lograr los objetivos,,
494,colectividad,"Paz, justicia e instituciones sólidas",,
495,colegio,Educación de calidad,,
496,colegios,Educación de calidad,,
497,coleoptera,Vida de ecosistemas terrestres,,
498,colibri,Vida de ecosistemas terrestres,,
499,colon,Salud y bienestar,,
500,colorrectal,Salud y bienestar,,
501,columna,Salud y bienestar,,
502,comandancia,"Paz, justicia e instituciones sólidas",,
503,combatientes,"Paz, justicia e instituciones sólidas",,
504,combustible,Ciudades y comunidades sostenibles,,
505,combustibles,Ciudades y comunidades sostenibles,,
506,comerciales,"Industria, innovación e infraestructuras",,
507,comercio,"Industria, innovación e infraestructuras",,
508,comida,Fin de la pobreza; Hambre cero,,
509,comorbilidad,Salud y bienestar,,
510,comorbilidades,Salud y bienestar,,
511,competencias,Trabajo decente y crecimiento económico,,
512,competidor,"Industria, innovación e infraestructuras",,
513,competidoras,"Industria, innovación e infraestructuras",,
514,competidores,"Industria, innovación e infraestructuras",,
515,competividad,"Industria, innovación e infraestructuras",,
516,compostaje,Ciudades y comunidades sostenibles,,
517,comunidad,"Paz, justicia e instituciones sólidas",,
518,comunitario,"Paz, justicia e instituciones sólidas",,
519,comunitarios,"Paz, justicia e instituciones sólidas",,
520,condon,gualdad de género;  Salud y bienestar,,
521,conflictivas,"Paz, justicia e instituciones sólidas",,
522,conflictos,"Paz, justicia e instituciones sólidas",,
523,congenita,Salud y bienestar,,
524,consenso,"Paz, justicia e instituciones sólidas",,
525,consensuar,"Paz, justicia e instituciones sólidas",,
526,conservacion,Ciudades y comunidades sostenibles,,
527,constitucionalismo,"Paz, justicia e instituciones sólidas",,
528,consumibles,Producción y consumo responsable,,
529,consumidoras,"Industria, innovación e infraestructuras; Producción y consumo responsable",,
530,contamiantes,Acción por el clima;  Agua limpia y saneamiento;  Ciudades y comunidades sostenibles,,
531,contaminacion,Acción por el clima;  Agua limpia y saneamiento;  Ciudades y comunidades sostenibles,,  Ciudades y comunidades sostenibles
532,contaminaciones,Acción por el clima;  Agua limpia y saneamiento;  Ciudades y comunidades sostenibles,,  Ciudades y comunidades sostenibles
533,contaminada,Acción por el clima;  Agua limpia y saneamiento;  Ciudades y comunidades sostenibles,,  Ciudades y comunidades sostenibles
534,contaminadas,Acción por el clima;  Agua limpia y saneamiento;  Ciudades y comunidades sostenibles,,  Ciudades y comunidades sostenibles
535,continentales,Acción por el clima,,
536,contrahegemonicas,"Paz, justicia e instituciones sólidas",,
537,convivencla,"Paz, justicia e instituciones sólidas",,
538,cooperativa,"Industria, innovación e infraestructuras",,
539,cooperativas,"Industria, innovación e infraestructuras",,
540,copula,Igualdad de género,,
541,corales,Vida submarina,,
542,corderos,Producción y consumo responsable,,
543,cornea,Salud y bienestar,,
544,coronaria,Salud y bienestar,,
545,corrosivas,"Industria, innovación e infraestructuras",,
546,corruptos,"Paz, justicia e instituciones sólidas",,
547,corticoides,Salud y bienestar,,
548,cosechadora,Producción y consumo responsable,,
549,cosechadoras,Producción y consumo responsable,,
550,cosechas,Hambre cero;  Producción y consumo responsible,,
551,cotidiana,"Paz, justicia e instituciones sólidas",,
552,cotidianas,"Paz, justicia e instituciones sólidas",,
553,covid,Salud y bienestar,,
554,craneofacial,Salud y bienestar,,
555,craqueo,"Paz, justicia e instituciones sólidas",,
556,crias,Vida de ecosistemas terrestre,,
557,criminales,"Paz, justicia e instituciones sólidas",,
558,criminologia,"Paz, justicia e instituciones sólidas",,
559,criminologica,"Paz, justicia e instituciones sólidas",,
560,criminologicas,"Paz, justicia e instituciones sólidas",,
561,crioconcentrada,"industria, innovación e infraestructuras",,
562,cron,Salud y bienestar,,
563,cuadricoptero,Vida de ecosistemas terrestres,,
564,cualificada,Trabajo decente y crecimiento económico,,
565,cubrebocas,Salud y bienestar,,
566,cuero,"Industria, innovación e infraestructuras",,
567,cultivables,Producción y consumo responsable,,
568,cultivadoras,Igualdad de género;  Producción y consumo responsible,,
569,cultivadores,Producción y consumo responsable,,
570,cultivar,Producción y consumo responsable,,
571,culturales,"Paz, justicia e instituciones sólidas",,
572,cupressoides,Vida de ecosistemas terrestres,,
573,cutanea,Salud y bienestar,,
574,cutaneas,Salud y bienestar,,
575,cutaneo,Salud y bienestar,,
576,cyberseguridad,"Industria, innovación e infraestructuras",,
577,dactorado,Educación de calidad,,
578,databases,"Industria, innovación e infraestructuras",,
579,decoloniales,"Paz, justicia e instituciones sólidas",,
580,decontaminadas,Acción por el clima;  Agua limpia y saneamiento;  Ciudades y comunidades sostenibles,,
581,decontaminar,Acción por el clima;  Agua limpia y saneamiento;  Ciudades y comunidades sostenibles,,
582,decontaminaran,Acción por el clima;  Agua limpia y saneamiento;  Ciudades y comunidades sostenibles,,
583,defensa,"Paz, justicia e instituciones sólidas",,
584,defensores,"Paz, justicia e instituciones sólidas",,
585,defiscalizacion,"Paz, justicia e instituciones sólidas",,
586,deformacion,Salud y bienestar,,
587,degenerativas,Salud y bienestar,,
588,degradables,Agua limpia y saneamiento;  Ciudades y comunidades sostenibles,,
589,delfin,Vida submarina,,
590,demencia,Salud y bienestar,,
591,democracia,"Paz, justicia e instituciones sólidas",,
592,democracias,"Paz, justicia e instituciones sólidas",,
593,democratico,"Paz, justicia e instituciones sólidas",,
594,democraticos,"Paz, justicia e instituciones sólidas",,
595,democratizacion,"Paz, justicia e instituciones sólidas",,
596,dentales,Salud y bienestar,,
597,denuncias,"Paz, justicia e instituciones sólidas",,
598,deportistas,Salud y bienestar,,
599,deportiva,Salud y bienestar,,
600,deportivo,Salud y bienestar,,
601,depredadoras,Vida de ecosistemas terrestres,,
602,depresivos,Salud y bienestar,,
603,dermatologia,Salud y bienestar,,
604,dermatologica,Salud y bienestar,,
605,dermatologicas,Salud y bienestar,,
606,dermatologico,Salud y bienestar,,
607,derrames,Salud y bienestar,,
608,desarme,"Paz, justicia e instituciones sólidas",,
609,descontaminables,Acción por el clima;  Agua limpia y saneamiento;  Ciudades y comunidades sostenibles,,
610,descontaminacion,Acción por el clima;  Agua limpia y saneamiento;  Ciudades y comunidades sostenibles,,
611,descontaminadas,Acción por el clima;  Agua limpia y saneamiento;  Ciudades y comunidades sostenibles,,
612,descontaminante,Acción por el clima;  Agua limpia y saneamiento;  Ciudades y comunidades sostenibles,,
613,descontaminarlo,Acción por el clima;  Agua limpia y saneamiento;  Ciudades y comunidades sostenibles,,
614,descontaminarse,Salud y bienestar,,
615,desembocadura,Agua limpia y saneamiento,,
616,desempleados,Trabajo decente y crecimiento económico,,
617,desempleo,Trabajo decente y crecimiento económico,,
618,desertificacion,Ciudades y comunidades sostenibles,,
619,desglobalizacion,"Paz, justicia e instituciones sólidas",,
620,deshidratada,Hambre cero;   Fin de la pobreza; Salud y bienestar,,
621,deshumanizacion,"Paz, justicia e instituciones sólidas",,
622,desierto,Vida de ecosistemas terrestres,,
623,desiertos,Vida de ecosistemas terrestres,,
624,desigualdad,Reducción de desigualdades,,
625,desiguales,Reducción de desigualdades,,
626,desinfectar,Salud y bienestar,,
627,desplazados,"Paz, justicia e instituciones sólidas",,
628,desplazamientos,"Paz, justicia e instituciones sólidas",,
629,diabetes,Salud y bienestar,,
630,diabetico,Salud y bienestar,,
631,diagenetica,Salud y bienestar,,
632,diagnostica,Salud y bienestar,,
633,diagnosticados,Salud y bienestar,,
634,diagnostico,Salud y bienestar,,
635,diarrea,Salud y bienestar,,
636,diaspora,"Paz, justicia e instituciones sólidas",,
637,dicloro,"Industria, innovación e infraestructuras",,
638,diclofenaco,Salud y bienestar,,
639,dictadura,"Paz, justicia e instituciones sólidas",,
640,dielectrica,"Industria, innovación e infraestructuras",,
641,dientes,Salud y bienestar,,
642,dietaria,Salud y bienestar,,
643,dietilestilbestrol,Salud y bienestar,,
644,digestion,Salud y bienestar,,
645,digestivas,Salud y bienestar,,
646,digitalizacion,"Industria, innovación e infraestructuras",,
647,diplomado,Educación de calidad,,
648,diplomatica,"Paz, justicia e instituciones sólidas",,
649,diplomatico,"Paz, justicia e instituciones sólidas",,
650,diplopia,Salud y bienestar,,
651,discapacidad,Salud y bienestar;  Reducción de desigualdades,,
652,discapacidades,Salud y bienestar;  Reducción de desigualdades,,
653,discapacitada,Salud y bienestar:  Reducción de desigualdades,,
654,discapacitadas,Salud y bienestar;  Reducción de desigualdades,,
655,discrimina,"Paz, justicia e instituciones sólidas; Reducción de desigualdades",,
656,discriminacion,"Paz, justicia e instituciones sólidas; Reducción de desigualdades",,
657,discriminaciones,"Paz, justicia e instituciones sólidas; Reducción de desigualdades",,
658,discriminada,"Paz, justicia e instituciones sólidas; Reducción de desigualdades",,
659,discriminando,"Paz, justicia e instituciones sólidas; Reducción de desigualdades",,
660,discriminatoria,"Paz, justicia e instituciones sólidas; Reducción de desigualdades",,
661,dislexia,Salud y bienestar,,
662,diversificacion,"Industria, innovación e infraestructuras",,
663,docencia,Trabajo decente y crecimiento económic,,
664,docencla,Trabajo decente y crecimiento económic,,
665,docente,Trabajo decente y crecimiento económic,,
666,doctora,Educación de calidad,,
667,doctorales,Educación de calidad,,
668,doctorantes,Educación de calidad,,
669,domesticacion,Ciudades y comunidades sostenibles;  Vida de ecosistemas terrestres,,
670,domesticas,Ciudades y comunidades sostenibles;  Vida de ecosistemas terrestres,,
671,domestico,Ciudades y comunidades sostenibles;  Vida de ecosistemas terrestres,,
672,dopamiento,Salud y bienestar,,
673,dosificacion,Salud y bienestar,,
674,dosimetria,Salud y bienestar,,
675,dragas,"Industria, innovación e infraestructuras",,
676,drenaje,Agua limpia y saneamiento,,
677,droga,"Paz, justicia e instituciones sólidas; Salud y bienestar",,
678,drogas,"Paz, justicia e instituciones sólidas; Salud y bienestar",,
679,drones,"Industria, innovación e infraestructuras",,
680,ecoambiental,Ciudades y comunidades sostenibles,,
681,ecoamigable,Ciudades y comunidades sostenibles,,
682,ecocreacion,Ciudades y comunidades sostenibles,,
683,ecoepidemiologica,Salud y bienestar;  Ciudades y comunidades sostenibles,,
684,ecogeneticos,Vida submarina; Vida de ecosistemas terrestres ,,
685,ecografia,Salud y bienestar,,
686,ecoindustria,Ciudades y comunidades sostenibles,,
687,ecoingenieria,Ciudades y comunidades sostenibles,,
688,ecointeligencia,Ciudades y comunidades sostenibles,,
689,ecoladrillos,Ciudades y comunidades sostenibles,,
690,ecologicas,Ciudades y comunidades sostenibles,,
691,ecoparque,Ciudades y comunidades sostenibles,,
692,ecosistemica,Vida submarina; Vida de ecosistemas terrestres ,,
693,ecosistemicos,Vida submarina; Vida de ecosistemas terrestres ,,
694,ecosostenibles,Ciudades y comunidades sostenibles,,
695,ecotoxicologia,Ciudades y comunidades sostenibles,,
696,ecoturismo,"Ciudades y comunidades sostenibles; Industria, innovación e infraestructuras",,
697,ecoturistica,"Ciudades y comunidades sostenibles; Industria, innovación e infraestructuras",,
698,ecoturisticos,"Ciudades y comunidades sostenibles; Industria, innovación e infraestructuras",,
699,educaciones,Educación de calidad,,
700,educaclonal,Educación de calidad,,
701,educaclonales,Educación de calidad,,
702,educadora,Educación de calidad,,
703,educativa,Educación de calidad,,
704,educativas,Educación de calidad,,
705,educativos,Educación de calidad,,
706,egresada,Educación de calidad,,
707,electrocoagulacion,Salud y bienestar,,
708,electrodiagnostico,Salud y bienestar,,
709,electroencefalografia,Salud y bienestar,,
710,electroencefalografico,Salud y bienestar,,
711,electroencefalograficos,Salud y bienestar,,
712,electroestimulador,Salud y bienestar,,
713,electrofisiologicas,Salud y bienestar,,
714,electrohilatura,"Industria, innovación e infraestructuras",,
715,electromiografia,Salud y bienestar,,
716,electromiograficos,Salud y bienestar,,
717,electromiograma,Salud y bienestar,,
718,electromovilidad,"Industria, innovación e infraestructuras; Ciudades y comunidades sostenibles",,
719,electronicas,"Industria, innovación e infraestructuras",,
720,electronico,"Industria, innovación e infraestructuras",,
721,electronicos,"Industria, innovación e infraestructuras",,
722,electronlco,"Industria, innovación e infraestructuras",,
723,emanacion,Acción por el clima;  Ciudades y comunidades sostenibles,,
724,emancipacion,"Paz, justicia e instituciones sólidas",,
725,emancipaciones,"Paz, justicia e instituciones sólidas",,
726,embalses,Acción por el clima;  Ciudades y comunidades sostenibles;  Energía asequible y no contaminante,,
727,embarazada,Salud y bienestar,,
728,embarazadas,Salud y bienestar,,
729,embarazos,Salud y bienestar,,
730,embrion,Salud y bienestar,,
731,emocionales,Salud y bienestar,,
732,empleabilidad,Trabajo decente y crecimiento económico,,
733,empleador,Trabajo decente y crecimiento económico,,
734,empleadora,Trabajo decente y crecimiento económico,,
735,empleadores,Trabajo decente y crecimiento económico,,
736,empleados,Trabajo decente y crecimiento económico,,
737,emplearse,Trabajo decente y crecimiento económico,,
738,empleo,Trabajo decente y crecimiento económico,,
739,empobrecidos,"Reducción de desigualdade; Paz, justicia e instituciones sólidas",,
740,empoderamiento,Igualdad de género,,
741,emprende,"Industria, innovación e infraestructuras",,
742,emprendedor,"Industria, innovación e infraestructuras",,
743,emprendedoras,"Industria, innovación e infraestructuras",,
744,emprendedores,"Industria, innovación e infraestructuras",,
745,emprendedurismo,"Industria, innovación e infraestructuras",,
746,emprendimiento,"Industria, innovación e infraestructuras",,
747,emprendimientos,"Industria, innovación e infraestructuras",,
748,emprendores,"Industria, innovación e infraestructuras",,
749,empresario,"Industria, innovación e infraestructuras",,
750,empresarismo,"Industria, innovación e infraestructuras",,
751,empresas,"Industria, innovación e infraestructuras",,
752,encefalopatia,Salud y bienestar,,
753,encriptado,"Industria, innovación e infraestructuras",,
754,encrlptados,"Industria, innovación e infraestructuras",,
755,endocrino,Salud y bienestar,,
756,endocrinologia,Salud y bienestar,,
757,endocrinos,Salud y bienestar,,
758,endofenotipos,Salud y bienestar,,
759,endofitos,Salud y bienestar,,
760,endogamia,Salud y bienestar,,
761,endovascular,Salud y bienestar,,
762,enemigos,"Paz, justicia e instituciones sólidas",,
763,energeticas,Energía asequible y no contaminante,,
764,energetico,Energía asequible y no contaminante,,
765,enfermedad,Salud y bienestar,,
766,enfermendades,Salud y bienestar,,
767,enfermera,Trabajo decente y crecimiento económico,,
768,enfermeria,Trabajo decente y crecimiento económico,,
769,enfermero,Trabajo decente y crecimiento económico,,
770,enfermo,Salud y bienestar,,
771,enfermos,Salud y bienestar,,
772,ensamblajes,"Industria, innovación e infraestructuras",,
773,enseña,Educación de calidad,,
774,enseñanza,Educación de calidad,,
775,enseñanzas,Educación de calidad,,
776,enseñar,Educación de calidad,,
777,enterovirus,Salud y bienestar,,
778,entomofauna,Vida de ecosistemas terrestres,,
779,entomologia,Vida de ecosistemas terrestres,,
780,entomologicas,Vida de ecosistemas terrestres,,
781,entomologico,Vida de ecosistemas terrestres,,
782,entomopatogenos,Vida de ecosistemas terrestres,,
783,entomotoxicologia,Vida de ecosistemas terrestres,,
784,entumecimiento,Salud y bienestar,,
785,envejecimiento,Salud y bienestar,,
786,envenenamiento,Salud y bienestar,,
787,enzimas,Salud y bienestar,,
788,enzimatica,Salud y bienestar,,
789,enzimaticas,Salud y bienestar,,
790,epidemia,Salud y bienestar,,
791,epidemias,Salud y bienestar,,
792,epidemica,Salud y bienestar,,
793,epidemicas,Salud y bienestar,,
794,epidemiologia,Salud y bienestar,,
795,epidemiologica,Salud y bienestar,,
796,epidemiologicas,Salud y bienestar,,
797,epidemiologico,Salud y bienestar,,
798,epidemiologicos,Salud y bienestar,,
799,epidemiologo,Trabajo decente y crecimiento económico,,
800,epidemiologos,Trabajo decente y crecimiento económico,,
801,epidermidis,Salud y bienestar,,
802,epidural,Salud y bienestar,,
803,epilepsia,Salud y bienestar,,
804,epileptogenicas,Salud y bienestar,,
805,epiteliales,Salud y bienestar,,
806,epitelio,Salud y bienestar,,
807,epithelial,Salud y bienestar,,
808,equidad,Reducción de desigualdades,,
809,equitativas,Reducción de desigualdades,,
810,eromero,Vida de ecosistemas terrestres,,
811,escenografias,Vida submarina,,
812,escorpiones,Vida de ecosistemas terrestres,,
813,especiacion,Vida submarina; Vida de ecosistemas terrestres ,,
814,especias,Producción y consumo responsable,,
815,especies,Vida submarina; Vida de ecosistemas terrestres ,,
816,esperma,Salud y bienestar,,
817,espermatozoide,Salud y bienestar,,
818,espermatozoides,Salud y bienestar,,
819,espines,Salud y bienestar,,
820,espondiloartropatias,Salud y bienestar,,
821,esponjas,Vida submarina,,
822,esquizofrenia,Salud y bienestar,,
823,esquizonticidas,Salud y bienestar,,
824,estereotipado,Igualdad de género,,
825,esterilizacion,Salud y bienestar,,
826,esterilizados,Salud y bienestar,,
827,esterilizar,Salud y bienestar,,
828,esterilizarse,Salud y bienestar,,
829,esteroides,Salud y bienestar,,
830,estomago,Salud y bienestar,,
831,estomatologia,Salud y bienestar,,
832,estrato,Reducción de desigualdades,,
833,estratos,Reducción de desigualdades,,
834,estreptomicina,Salud y bienestar,,
835,estrogenos,Salud y bienestar,,
836,estudiantado,"Paz, justicia e instituciones sólidas",,
837,estudiante,Educación de calidad,,
838,estudiantes,Educación de calidad,,
839,estudiantil,"Paz, justicia e instituciones sólidas",,
840,estudiantiles,"Paz, justicia e instituciones sólidas",,
841,estufas,"Industria, innovación e infraestructuras",,
842,etarios,Reducción de desigualdades,,
843,etnica,"Paz, justicia e instituciones sólidas",,
844,etnicas,"Paz, justicia e instituciones sólidas",,
845,etnicos,"Paz, justicia e instituciones sólidas",,
846,etnobiologicos,Ciudades y comunidades sostenibles,,
847,etnobotanico,Ciudades y comunidades sostenibles,,
848,etnopsiquiatria,Educación de calidad,,
849,etologia,Vida de ecosistemas terrestres,,
850,excombatientes,"Paz, justicia e instituciones sólidas",,
851,explosivas,"Paz, justicia e instituciones sólidas",,
852,explosivos,"Paz, justicia e instituciones sólidas",,
853,exportaciones,"Industria, innovación e infraestructuras",,
854,exportadores,"Industria, innovación e infraestructuras",,
855,extorsion,"Paz, justicia e instituciones sólidas",,
856,extraccion,"Industria, innovación e infraestructuras",,
858,extremofilos,Vida de ecosistemas terrestres,,
859,fabricacion,"Industria, innovación e infraestructuras",,
860,fabricado,"Industria, innovación e infraestructuras",,
861,fabricados,"Industria, innovación e infraestructuras",,
862,fabricar,"Industria, innovación e infraestructuras",,
863,fabriles,"Industria, innovación e infraestructuras",,
864,facturacion,"Industria, innovación e infraestructuras",,
865,falsificacion,"Paz, justicia e instituciones sólidas",,
866,farc,"Paz, justicia e instituciones sólidas",,
867,farmaceutica,"Industria, innovación e infraestructuras",,
868,farmaceuticas,"Industria, innovación e infraestructuras",,
869,farmaceuticos,"Industria, innovación e infraestructuras",,
870,farmacodependencia,Salud y bienestar,,
871,farmacoepidemiologia,Salud y bienestar,,
872,farmacogenetico,Salud y bienestar,,
873,farmacogenomica,Salud y bienestar,,
874,farmacologica,Salud y bienestar,,
875,farmacologicas,Salud y bienestar,,
876,farmacologico,Salud y bienestar,,
877,farmacos,Salud y bienestar,,
878,fecundidad,Salud y bienestar,,
879,felina,Vida de ecosistemas terrestres,,
880,femenina,Igualdad de género,,
881,feminismos,Igualdad de género,,
882,feministas,Igualdad de género,,
883,fermentables,"Industria, innovación e infraestructuras",,
884,fermentaciones,"Industria, innovación e infraestructuras",,
885,fermentadoras,"Industria, innovación e infraestructuras",,
886,fermentadores,"Industria, innovación e infraestructuras",,
887,ferreas,"Industria, innovación e infraestructuras",,
888,ferreteria,"Industria, innovación e infraestructuras",,
889,ferrocarril,"Industria, innovación e infraestructuras",,
890,ferrocarriles,"Industria, innovación e infraestructuras",,
891,ferroelectrico,"Industria, innovación e infraestructuras",,
892,ferroelectricos,"Industria, innovación e infraestructuras",,
893,ferrosos,"Industria, innovación e infraestructuras",,
894,ferroviaria,"Industria, innovación e infraestructuras",,
895,fertilidad,Salud y bienestar,,
896,fertilizacion,Salud y bienestar,,
897,fertilizante,Hambre cero,,
898,fertilizantes,Hambre cero,,
899,fetoproteina,Salud y bienestar,,
900,fetos,Salud y bienestar,,
901,fibra,Hambre cero,,
902,fibras,Hambre cero,,
903,fibrina,Salud y bienestar,,
904,fibroblastos,Salud y bienestar,,
905,fibroina,Salud y bienestar,,
906,filantropicos,"Paz, justicia e instituciones sólidas",,
907,financera,"Industria, innovación e infraestructuras",,
908,financiero,"Industria, innovación e infraestructuras",,
909,fiscalizaciones,"Paz, justicia e instituciones sólidas",,
910,fisicoquimica,Salud y bienestar,,
911,fisicoquimicas,Salud y bienestar,,
912,fisicoquimicos,Salud y bienestar,,
913,fisiologia,Salud y bienestar,,
914,fisiologica,Salud y bienestar,,
915,fisiologico,Salud y bienestar,,
916,fitofagos,Vida submarina; Vida de ecosistemas terrestres ,,
917,fitogenetica,Vida submarina; Vida de ecosistemas terrestres ,,
918,fitogeneticos,Vida submarina; Vida de ecosistemas terrestres ,,
919,fitomedicamentos,Salud y bienestar,,
920,fitopatogenos,Salud y bienestar,,
921,fitopatologia,Salud y bienestar,,
922,fitosanitaria,Producción y consumo responsable,,
923,fitosanitarios,Producción y consumo responsable,,
924,fitotecnia,Producción y consumo responsable,,
925,flor,Vida de ecosistemas terrestres,,
926,floracion,Vida de ecosistemas terrestres;  Producción y consumo responsible,,
927,floral,Vida de ecosistemas terrestres;  Producción y consumo responsible,,
928,florecimientos,Vida de ecosistemas terrestres;  Producción y consumo responsible,,
929,floricultor,Trabajo decente y crecimiento económico,,
930,fluoroscopia,Salud y bienestar,,
931,fonoaudiologia,Salud y bienestar,,
932,fonoaudiologica,Salud y bienestar,,
933,fonografia,Salud y bienestar,,
934,fosfomicina,Salud y bienestar,,
935,fotobioreactor,Producción y consumo responsable,,
936,fotobiorreactor,Producción y consumo responsable,,
937,fotodegradacion,Agua limpia y saneamiento,,
938,fotoelectrocatalitica,Salud y bienestar,,
939,fotoelectrodo,Energía asequible y no contaminante,,
940,fotosintesis,Vida submarina;  Vida de ecosistemas terrestres ,,
941,fotostatica,"Industria, innovación e infraestructuras",,
942,fotovoltaica,"Energía asequible y no contaminante; Industria, innovación e infraestructuras",,
943,fotovoltaicas,"Energía asequible y no contaminante; Industria, innovación e infraestructuras",,
944,fotovoltaicos,"Energía asequible y no contaminante; Industria, innovación e infraestructuras",,
945,fracking,"Industria, innovación e infraestructuras",,
946,fraude,"Paz, justicia e instituciones sólidas",,
947,fresa,Producción y consumo responsable,,
948,fructoligosacaridos,Producción y consumo responsable,,
949,fruta,Producción y consumo responsable,,
950,frutales,Producción y consumo responsable,,
951,fruticolas,Producción y consumo responsable,,
952,fruticultores,Producción y consumo responsable,,
953,frutihorticolas,Producción y consumo responsable,,
954,fruto,Producción y consumo responsable,,
955,fumigacion,"Industria, innovación e infraestructuras",,
956,fumigaciones,"Industria, innovación e infraestructuras",,
957,fumigar,"Industria, innovación e infraestructuras",,
958,fungicidas,Salud y bienestar,,
959,fungoide,Salud y bienestar,,
960,fusobacterium,Salud y bienestar,,
961,galeras,"Industria, innovación e infraestructuras",,
962,gallina,Producción y consumo responsable,,
963,gallinas,Producción y consumo responsable,,
964,ganadera,"Industria, innovación e infraestructuras",,
965,ganaderas,"Industria, innovación e infraestructuras",,
966,ganaderia,"Industria, innovación e infraestructuras",,
967,ganadero,"Industria, innovación e infraestructuras",,
968,ganoderma,Salud y bienestar,,
969,gasoducto,"Industria, innovación e infraestructuras",,
970,gasteropodos,Vida submarina,,
971,gastroduodenales,Salud y bienestar,,
972,gastroenteritis,Salud y bienestar,,
973,gastroenterologia,Salud y bienestar,,
974,gastrointestinal,Salud y bienestar,,
975,gastrointestinales,Salud y bienestar,,
976,genero,Igualdad de género,,
977,genes,"Industria, innovación e infraestructuras",,
978,geneticas,"Industria, innovación e infraestructuras",,
979,genetico,"Industria, innovación e infraestructuras",,
980,geneticos,"Industria, innovación e infraestructuras",,
981,genica,"Industria, innovación e infraestructuras",,
982,genoma,"Industria, innovación e infraestructuras",,
983,genomica,"Industria, innovación e infraestructuras",,
984,genomicos,"Industria, innovación e infraestructuras",,
985,genotipica,"Industria, innovación e infraestructuras",,
986,genotipos,"Industria, innovación e infraestructuras",,
987,genotoxica,Salud y bienestar,,
988,genotoxicas,Salud y bienestar,,
989,genotoxico,Salud y bienestar,,
990,geoagroambientales,Ciudades y comunidades sostenibles;  Producción y consumo responsible,,
991,geoambientales,Ciudades y comunidades sostenibles;  Producción y consumo responsible,,
992,geopolitica,"Paz, justicia e instituciones sólidas",,
993,geopoliticas,"Paz, justicia e instituciones sólidas",,
994,geopolitico,"Paz, justicia e instituciones sólidas",,
995,geopoliticos,"Paz, justicia e instituciones sólidas",,
996,georrecursos,"Industria, innovación e infraestructuras",,
997,geoturismo,"Industria, innovación e infraestructuras",,
998,germinacion,Ciudades y comunidades sostenibles,,
999,germinar,Ciudades y comunidades sostenibles,,
1000,germinativas,Ciudades y comunidades sostenibles,,
1001,gestacional,Salud y bienestar,,
1002,ginecologia,Salud y bienestar,,
1003,ginecologico,Salud y bienestar,,
1004,girasol,Ciudades y comunidades sostenibles,,
1005,glacial,Acción por el clima,,
1006,glaciares,Acción por el clima,,
1007,glaucoma,Salud y bienestar,,
1008,glifosato,"Industria, innovación e infraestructuras",,
1009,globulos,Salud y bienestar,,
1010,glucemia,Salud y bienestar,,
1011,glucosilada,Salud y bienestar,,
1012,gobernadores,"Paz, justicia e instituciones sólidas",,
1013,gobernanza,"Paz, justicia e instituciones sólidas",,
1014,gobernar,"Paz, justicia e instituciones sólidas",,
1015,gobierna,"Paz, justicia e instituciones sólidas",,
1016,gonorrea,Salud y bienestar,,
1017,grafenicos,"Industria, innovación e infraestructuras",,
1018,grafeno,"Industria, innovación e infraestructuras",,
1019,gramofonicos,"Industria, innovación e infraestructuras",,
1020,granadilla,Producción y consumo responsable,,
1021,granja,Producción y consumo responsable,,
1022,granos,Producción y consumo responsable,,
1023,guacamaya,Vida de ecosistemas terrestres,,
1024,guanabano,Producción y consumo responsable,,
1025,guayaba,Producción y consumo responsable,,
1026,guayabo,Producción y consumo responsable,,
1027,guayacanes,Vida de ecosistemas terrestres,,
1028,gubernamental,"Paz, justicia e instituciones sólidas",,
1029,gubernamentales,"Paz, justicia e instituciones sólidas",,
1030,guerrilla,"Paz, justicia e instituciones sólidas",,
1031,guerrillas,"Paz, justicia e instituciones sólidas",,
1032,harinas,Hambre cero,,
1033,hegemonia,"Paz, justicia e instituciones sólidas",,
1034,hegemonicas,"Paz, justicia e instituciones sólidas",,
1035,helechales,Ciudades y comunidades sostenibles,,
1036,hematoencefalica,Salud y bienestar,,
1037,hematologicos,Salud y bienestar,,
1038,hematopatologia,Salud y bienestar,,
1039,hemocultivo,Salud y bienestar,,
1040,hemodialisis,Salud y bienestar,,
1041,hemoglobina,Salud y bienestar,,
1042,hemorragico,Salud y bienestar,,
1043,hepatico,Salud y bienestar,,
1044,hepaticos,Salud y bienestar,,
1045,hepatologia,Salud y bienestar,,
1046,herbario,Ciudades y comunidades sostenibles,,
